game_id,game_date,attendance,game_time
22100541,1/1/2022 0:00,19043,2:30
22100543,1/1/2022 0:00,18055,2:19
22100539,1/1/2022 0:00,17341,2:17
22100544,1/1/2022 0:00,18306,2:20
22100540,1/1/2022 0:00,18911,2:41
22100542,1/1/2022 0:00,17732,2:25
22100549,1/2/2022 0:00,19088,2:05
22100547,1/2/2022 0:00,17808,2:17
22100548,1/2/2022 0:00,13699,2:09
22100550,1/2/2022 0:00,14751,1:57
22100545,1/2/2022 0:00,0,2:12
22100546,1/2/2022 0:00,19156,2:41
22100553,1/3/2022 0:00,8902,2:15
22100554,1/3/2022 0:00,17089,2:14
22100556,1/3/2022 0:00,17341,2:15
22100555,1/3/2022 0:00,20502,2:17
22100557,1/3/2022 0:00,15057,2:24
22100558,1/3/2022 0:00,19767,2:11
22100559,1/3/2022 0:00,18064,2:12
22100565,1/4/2022 0:00,15158,2:12
22100563,1/4/2022 0:00,,2:03
22100562,1/4/2022 0:00,18178,2:10
22100566,1/4/2022 0:00,17919,2:13
22100564,1/4/2022 0:00,18449,2:18
22100570,1/5/2022 0:00,19156,2:06
22100571,1/5/2022 0:00,14176,2:24
22100573,1/5/2022 0:00,17341,2:15
22100574,1/5/2022 0:00,14375,2:05
22100575,1/5/2022 0:00,14056,2:11
22100572,1/5/2022 0:00,20441,2:16
22100567,1/5/2022 0:00,14427,2:06
22100568,1/5/2022 0:00,13116,2:21
22100576,1/5/2022 0:00,15773,2:29
22100569,1/5/2022 0:00,13014,2:25
22100580,1/6/2022 0:00,15986,2:19
22100578,1/6/2022 0:00,17529,2:21
22100581,1/6/2022 0:00,17071,2:12
22100579,1/6/2022 0:00,12983,2:07
22100589,1/7/2022 0:00,18997,2:20
22100582,1/7/2022 0:00,20265,2:10
22100588,1/7/2022 0:00,15966,2:11
22100583,1/7/2022 0:00,17732,2:12
22100587,1/7/2022 0:00,14874,2:15
22100585,1/7/2022 0:00,21700,2:10
22100590,1/7/2022 0:00,16708,2:08
22100584,1/7/2022 0:00,,2:07
22100591,1/8/2022 0:00,17936,2:16
22100596,1/8/2022 0:00,17071,2:11
22100595,1/8/2022 0:00,19156,2:01
22100592,1/8/2022 0:00,19139,2:24
22100593,1/8/2022 0:00,18644,2:18
22100594,1/8/2022 0:00,13160,2:13
22100599,1/9/2022 0:00,,2:12
22100606,1/9/2022 0:00,18288,2:13
22100605,1/9/2022 0:00,16408,2:07
22100597,1/9/2022 0:00,14836,1:59
22100604,1/9/2022 0:00,18064,1:58
22100603,1/9/2022 0:00,20041,1:54
22100602,1/9/2022 0:00,15606,2:24
22100598,1/9/2022 0:00,13223,2:17
22100601,1/9/2022 0:00,14772,2:03
22100609,1/10/2022 0:00,19156,2:40
22100611,1/10/2022 0:00,12110,2:09
22100486,1/10/2022 0:00,16379,2:14
22100607,1/10/2022 0:00,14253,2:17
22100610,1/10/2022 0:00,16569,2:03
22100711,1/10/2022 0:00,13593,2:07
22100608,1/10/2022 0:00,17834,2:07
22100613,1/11/2022 0:00,,2:15
22100614,1/11/2022 0:00,17794,2:12
22100415,1/11/2022 0:00,19886,2:09
22100612,1/11/2022 0:00,13985,2:11
22100615,1/11/2022 0:00,15155,2:31
22100626,1/12/2022 0:00,12199,2:13
22100620,1/12/2022 0:00,13138,2:05
22100622,1/12/2022 0:00,18215,2:09
22100624,1/12/2022 0:00,18306,2:03
22100625,1/12/2022 0:00,21698,2:15
22100619,1/12/2022 0:00,20317,2:10
22100621,1/12/2022 0:00,15355,2:07
22100631,1/13/2022 0:00,14972,2:18
22100628,1/13/2022 0:00,15881,2:24
22100627,1/13/2022 0:00,17848,2:13
22100630,1/13/2022 0:00,16964,2:09
22100629,1/13/2022 0:00,15406,2:04
22100633,1/14/2022 0:00,18011,2:22
22100636,1/14/2022 0:00,19600,2:27
22100638,1/14/2022 0:00,12160,2:11
22100639,1/14/2022 0:00,16712,2:09
22100635,1/14/2022 0:00,20444,2:12
22100637,1/14/2022 0:00,21174,2:08
22100634,1/14/2022 0:00,14019,2:13
22100640,1/14/2022 0:00,12857,2:14
22100632,1/14/2022 0:00,16011,2:15
22100642,1/15/2022 0:00,15124,2:20
22100641,1/15/2022 0:00,17341,2:22
22100644,1/15/2022 0:00,17034,2:10
22100645,1/15/2022 0:00,19600,2:14
