id,full_name,abbreviation,nickname,conferences
1610612737,Atlanta Hawks,ATL,Hawks,Southeast
1610612738,Boston Celtics,BOS,Celtics,Atlantic
1610612739,Cleveland Cavaliers,CLE,Cavaliers,Central
1610612740,New Orleans Pelicans,NOP,Pelicans,Southwest
1610612741,Chicago Bulls,CHI,Bulls,Central
1610612742,Dallas Mavericks,DAL,Mavericks,Southwest
1610612743,Denver Nuggets,DEN,Nuggets,Northwest
1610612744,Golden State Warriors,GSW,Warriors,Pacific
1610612745,Houston Rockets,HOU,Rockets,Southwest
1610612746,Los Angeles Clippers,LAC,Clippers,Pacific
1610612747,Los Angeles Lakers,LAL,Lakers,Pacific
1610612748,Miami Heat,MIA,Heat,Southeast
1610612749,Milwaukee Bucks,MIL,Bucks,Central
1610612750,Minnesota Timberwolves,MIN,Timberwolves,Northwest
1610612751,Brooklyn Nets,BKN,Nets,Atlantic
1610612752,New York Knicks,NYK,Knicks,Atlantic
1610612753,Orlando Magic,ORL,Magic,Southeast
1610612754,Indiana Pacers,IND,Pacers,Central
1610612755,Philadelphia 76ers,PHI,76ers,Atlantic
1610612756,Phoenix Suns,PHX,Suns,Pacific
1610612757,Portland Trail Blazers,POR,Trail Blazers,Northwest
1610612758,Sacramento Kings,SAC,Kings,Pacific
1610612759,San Antonio Spurs,SAS,Spurs,Southwest
1610612760,Oklahoma City Thunder,OKC,Thunder,Northwest
1610612761,Toronto Raptors,TOR,Raptors,Atlantic
1610612762,Utah Jazz,UTA,Jazz,Northwest
1610612763,Memphis Grizzlies,MEM,Grizzlies,Southwest
1610612764,Washington Wizards,WAS,Wizards,southeast
1610612765,Detroit Pistons,DET,Pistons,Central
1610612766,Charlotte Hornets,CHA,Hornets,Southeast
